ls_id,cluster,classifications,disturbed_weighted_fraction,disturbed_unweighted_fraction,merger_weighted_fraction,merger_unweighted_fraction,tail_weighted_fraction,tail_unweighted_fraction,problem_weighted_fraction,problem_unweighted_fraction,disturbed_weighted_votes,disturbed_unweighted_votes,merger_weighted_votes,merger_unweighted_votes,tail_weighted_votes,tail_unweighted_votes,problem_weighted_votes,problem_unweighted_votes,ra,dec,type,z_spec,z_phot_mean,z_phot_median,z_phot_l95,z_phot_u95,dered_mag_g,mag_g,snr_g,dered_mag_r,mag_r,snr_r,dered_mag_z,mag_z,snr_z,g_r,sersic,shape_r
9906623172644937,MKW 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,219.53057539541803,4.500513500045386,SER,0.071267,0.05859400000000001,0.055745,0.0389,0.090628,17.688519,17.829016,511.7226,17.004883,17.099525,427.10672,16.503365,16.556303,534.29254,0.72949,1.176022,4.401863
9906623172645718,MKW 8,10.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,219.564738666537,4.496836464964866,SER,0.14451,0.089929,0.089791,0.027218,0.154527,17.450815,17.592133999999998,581.3106700000001,16.887997,16.98319,655.99994,16.41974,16.47299,588.9233,0.6089439999999999,1.7420209999999998,3.0468330000000003
9906623172646333,MKW 8,11.0,0.3333333333333333,0.36363636363636365,0.0,0.0,1.0,1.0,0.0,0.0,3.5,4.0,0.0,0.0,3.5,4.0,0.0,0.0,219.59401178710274,4.613122303433227,SER,0.005684000000000001,0.014766,0.013193,0.006657,0.031661,17.573339999999998,17.713620000000002,461.16617,17.187721,17.282217000000003,447.0273,16.975409,17.028265,306.06406,0.43140200000000006,0.8926700000000001,5.642218
9906623172709825,MKW 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,219.76543129096214,4.412645386743689,EXP,-99.0,0.105119,0.102487,0.072619,0.14529,18.685616,18.81236,345.155,18.164465,18.249842,412.82126,17.7426,17.790356,316.33813,0.562519,1.0,3.036852
9906623172710378,MKW 8,10.0,0.25,0.25,0.0,0.0,0.5,0.5,0.2,0.2,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,219.78771248199504,4.551741815458636,SER,0.015366,0.02335,0.021327000000000002,0.014962999999999999,0.041318,17.351685999999997,17.48715,677.0684,16.929304000000002,17.020554,785.335,16.643309,16.694351,554.04,0.46659700000000004,0.694892,3.739993
9906623172710651,MKW 8,10.0,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,1.0,0.1,0.1,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,219.7986592217257,4.450960334220575,SER,0.099356,0.06603200000000001,0.065579,0.041089999999999995,0.101846,18.274319000000002,18.404694,409.29184,17.492065,17.57989,539.0228,16.907473,16.956595999999998,534.3755,0.8248040000000001,1.463739,3.1371439999999997
9906623172710679,MKW 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,219.79987266796326,4.4329135284701255,SER,-99.0,0.089439,0.08871,0.050122,0.137944,18.422386,18.551588,346.27896,17.918541,18.005573000000002,403.62377999999995,17.552597,17.601278,292.1454,0.5460149999999999,0.842316,2.84348
9906623172710927,MKW 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,219.81015775887775,4.429178158388754,SER,-99.0,0.13109,0.130977,0.09425499999999999,0.173219,18.859867,18.989113,286.0785,18.161773999999998,18.248835,386.0945,17.53823,17.58693,355.06836,0.740278,0.5,2.6167759999999998
9906623172772838,MKW 8,10.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,219.90060073543975,4.6123105254545935,SER,-99.0,0.059432000000000006,0.054571,0.034832999999999996,0.10905,17.52226,17.65127,640.60236,16.83507,16.921972,802.85864,16.336617999999998,16.385227,669.8937,0.729298,0.51812,3.8457449999999995
9906623172775694,MKW 8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,220.01866915695894,4.390395703874135,SER,0.05765700000000001,0.075691,0.077716,0.047681,0.10245599999999999,18.022289999999998,18.143692,455.78598,17.236593,17.31837,654.2629,16.577208,16.62295,556.7318,0.8253209999999999,0.761976,4.263877
